player_name,19_20_salary,20_21_salary
Ersan Ilyasova,"$7,000,000","$7,000,000"
DeMarre Carroll,"$7,000,000","$6,650,000"
Davis Bertans,"$7,000,000",$0
Jaren Jackson,"$6,927,480","$7,257,360"
Nemanja Bjelica,"$6,825,000","$7,150,000"
Avery Bradley,"$6,767,000","$5,005,350"
Jaylen Brown,"$6,534,829","$22,991,071"
Jabari Parker,"$6,500,000","$6,500,000"
Ivica Zubac,"$6,481,482","$7,000,000"
Joakim Noah,"$6,431,666","$6,431,666"
Darius Garland,"$6,400,920","$6,720,720"
De'Aaron Fox,"$6,392,760","$8,099,627"
Trae Young,"$6,273,000","$6,571,800"
Kyle Korver,"$6,004,753",$0
Ishmael Smith,"$6,000,000","$6,000,000"
Montrezl Harrell,"$6,000,000",$0
Marco Belinelli,"$5,846,154",$0
Jarrett Culver,"$5,813,640","$6,104,280"
Jonathan Isaac,"$5,806,440","$7,362,565"
Rodney Hood,"$5,718,000","$6,003,900"
Ryan Anderson,"$5,714,583","$5,214,583"
Mo Bamba,"$5,697,600","$5,969,040"
Dwight Howard,"$5,603,850",$0
Timofey Mozgov,"$5,573,333","$5,573,333"
Trey Lyles,"$5,500,000","$5,500,000"
Deron Williams,"$5,474,787",$0
Aron Baynes,"$5,453,280",$0
Kris Dunn,"$5,348,007","$7,091,457"
Josh Smith,"$5,331,729",$0
Coby White,"$5,307,120","$5,572,680"
Lauri Markkanen,"$5,300,400","$6,731,508"
Wendell Carter,"$5,201,400","$5,448,840"
Luol Deng,"$5,000,000","$5,000,000"
Daniel Theis,"$5,000,000","$5,000,000"
Jaxson Hayes,"$4,862,040","$5,105,160"
Buddy Hield,"$4,861,207","$26,431,817"
Frank Ntilikina,"$4,855,800","$6,176,578"
Rodney McGruder,"$4,807,693","$5,192,307"
Enes Kanter,"$4,767,000","$5,005,350"
JaMychal Green,"$4,767,000","$5,005,350"
Robin Lopez,"$4,767,000","$5,005,350"
Mike Scott,"$4,767,000","$5,005,350"
Richaun Holmes,"$4,767,000","$5,005,350"
Ed Davis,"$4,767,000","$5,005,350"
Garrett Temple,"$4,767,000","$5,005,350"
Justin Holiday,"$4,767,000",$0
Frank Kaminsky,"$4,767,000","$5,005,350"
Collin Sexton,"$4,764,960","$4,991,880"
Rui Hachimura,"$4,469,160","$4,692,840"
Kevon Looney,"$4,464,286","$4,821,429"
Dennis Smith,"$4,463,640","$5,686,677"
Jamal Murray,"$4,444,746","$29,000,000"
Kevin Knox,"$4,380,120","$4,588,680"
Cam Reddish,"$4,245,720","$4,458,000"
Zach Collins,"$4,240,200","$5,406,255"
Mikal Bridges,"$4,161,000","$4,359,000"
Alex Len,"$4,160,000",$0
Nicolo Melli,"$4,102,564","$3,897,436"
Cameron Johnson,"$4,033,440","$4,235,160"
Malik Monk,"$4,028,400","$5,345,687"
JaVale McGee,"$4,000,000","$4,200,000"
Reggie Bullock,"$4,000,000","$4,200,000"
Dorian Finney-Smith,"$4,000,000","$4,000,000"
Patrick McCaw,"$4,000,000","$4,000,000"
Shai Gilgeous-Alexander,"$3,952,920","$4,141,320"
PJ Washington,"$3,831,840","$4,023,600"
Luke Kennard,"$3,827,160","$5,273,826"
Miles Bridges,"$3,755,400","$3,934,320"
Jakob Poeltl,"$3,754,885","$5,087,870"
Tyler Herro,"$3,640,200","$3,822,240"
Donovan Mitchell,"$3,635,760","$5,195,501"
Stanley Johnson,"$3,623,000","$3,804,150"
Jake Layman,"$3,581,986","$3,761,085"
Thon Maker,"$3,569,643","$4,861,853"
Jerome Robinson,"$3,567,720","$3,737,520"
Allonzo Trier,"$3,551,100",$0
Danuel House,"$3,540,000","$3,717,000"
Domantas Sabonis,"$3,529,554","$18,500,000"
Boban Marjanovic,"$3,500,000","$3,500,000"
TJ McConnell,"$3,500,000","$3,500,000"
DeMarcus Cousins,"$3,500,000",$0
Taurean Prince,"$3,481,985","$12,250,000"
Dario Saric,"$3,481,985","$4,791,212"
Romeo Langford,"$3,458,400","$3,631,200"
Bam Adebayo,"$3,454,080","$5,115,492"
Michael Porter,"$3,389,400","$3,550,800"
Denzel Valentine,"$3,377,568","$4,698,197"
Juan Hernangomez,"$3,321,029","$4,642,799"
Sekou Doumbouya,"$3,285,120","$3,449,400"
Justin Jackson,"$3,280,920","$5,029,650"
Troy Brown,"$3,219,480","$3,372,840"
Markieff Morris,"$3,200,000","$3,360,000"
Jon Leuer,"$3,169,348","$3,169,348"
Yogi Ferrell,"$3,150,000",$0
Patrick Patterson,"$3,068,660","$737,067"
Zhaire Smith,"$3,058,800","$3,204,600"
Ryan Arcidiacono,"$3,000,000","$3,000,000"
Quinn Cook,"$3,000,000","$3,000,000"
Khem Birch,"$3,000,000","$3,000,000"
Omer Asik,"$3,000,000",$0
Nickeil Alexander-Walker,"$2,964,840","$3,113,160"
DJ Wilson,"$2,961,120","$4,548,280"
Cedi Osman,"$2,907,143","$8,840,580"
Donte DiVincenzo,"$2,905,800","$3,044,160"
Bryn Forbes,"$2,875,000",$0
Andrew Nicholson,"$2,844,429","$2,844,429"
Goga Bitadze,"$2,816,760","$2,957,520"
TJ Leaf,"$2,813,280","$4,326,825"
Lonnie Walker,"$2,764,200","$2,895,720"
Alex Caruso,"$2,750,000","$2,750,000"
Malik Beasley,"$2,731,713","$3,895,423"
Luka Samanic,"$2,689,920","$2,824,320"
John Collins,"$2,686,560","$4,137,302"
Kevin Huerter,"$2,636,280","$2,761,920"
Caris LeVert,"$2,625,717","$16,203,704"
Marko Guduric,"$2,625,000","$2,750,000"
DeAndre Bembry,"$2,603,981","$3,752,337"
Matisse Thybulle,"$2,582,160","$2,711,280"
Harry Giles,"$2,578,800",$0
Rajon Rondo,"$2,564,753","$2,692,991"
Wesley Matthews,"$2,564,753","$2,692,991"
Vince Carter,"$2,564,753",$0
Nenê,"$2,564,753",$0
Wilson Chandler,"$2,564,753",$0
Jose Juan Barea,"$2,564,753",$0
Gerald Green,"$2,564,753",$0
Tyson Chandler,"$2,564,753",$0
Thabo Sefolosha,"$2,564,753",$0
Jared Dudley,"$2,564,753",$0
Udonis Haslem,"$2,564,753",$0
Anthony Tolliver,"$2,564,753",$0
Jeff Green,"$2,564,753",$0
Josh Okogie,"$2,530,680","$2,651,040"
Vincent Poirier,"$2,505,793","$2,619,207"
Rondae Hollis-Jefferson,"$2,500,000",$0
Brandon Clarke,"$2,478,840","$2,602,920"
Terrance Ferguson,"$2,475,840","$3,944,013"
Grayson Allen,"$2,429,400","$2,545,320"
Grant Williams,"$2,379,840","$2,498,760"
Jarrett Allen,"$2,376,840","$3,909,902"
Pascal Siakam,"$2,351,838","$29,000,000"
Skal Labissiere,"$2,338,846","$3,484,881"
Chandler Hutchison,"$2,332,320","$2,443,440"
Dejounte Murray,"$2,321,735","$14,286,000"
Isaiah Thomas,"$2,320,044",$0
Alec Burks,"$2,320,044",$0
Damian Jones,"$2,305,057","$3,457,585"
Darius Bazley,"$2,284,800","$2,399,160"
OG Anunoby,"$2,281,800","$3,872,215"
Ante Zizic,"$2,281,800",$0
Luke Kornet,"$2,250,000","$2,250,000"
Monta Ellis,"$2,245,400","$2,245,400"
Aaron Holiday,"$2,239,200","$2,345,640"
Ty Jerome,"$2,193,480","$2,303,040"
Willie Cauley-Stein,"$2,177,483",$0
Kyle O'Quinn,"$2,174,318",$0
Austin Rivers,"$2,174,310","$2,436,046"
Carmelo Anthony,"$2,159,029",$0
Anfernee Simons,"$2,149,560","$2,252,040"
Matt Barnes,"$2,133,542",$0
Nassir Little,"$2,105,520","$2,210,640"
Moritz Wagner,"$2,063,520","$2,161,920"
Dylan Windler,"$2,035,800","$2,137,440"
Caleb Swanigan,"$2,033,160",$0
Ben McLemore,"$2,028,594","$2,283,034"
Mike Muscala,"$2,028,594","$2,283,034"
Troy Daniels,"$2,028,594",$0
Michael Carter-Williams,"$2,028,594",$0
Trey Burke,"$2,028,594",$0
Spencer Hawes,"$2,007,058","$2,007,058"
Edmond Sumner,"$2,000,000","$2,160,000"
Torrey Craig,"$2,000,000",$0
Noah Vonleh,"$2,000,000",$0
Landry Shamet,"$1,995,120","$2,090,040"
Mfiondu Kabengele,"$1,977,000","$2,075,880"
Kyle Kuzma,"$1,974,600","$3,562,178"
Jordan Poole,"$1,964,760","$2,063,280"
Tony Bradley,"$1,962,360","$3,542,060"
Keldon Johnson,"$1,950,600","$2,048,040"
Derrick White,"$1,948,080","$3,516,284"
Robert Williams,"$1,937,520","$2,029,920"
Josh Hart,"$1,934,160","$3,491,159"
Jacob Evans,"$1,928,280","$2,019,960"
Anderson Varejao,"$1,913,345","$1,913,345"
Dzanan Musa,"$1,911,600","$2,002,800"
Omari Spellman,"$1,897,800","$1,988,280"
James Ennis,"$1,882,867","$2,130,023"
Nerlens Noel,"$1,882,867",$0
Glenn Robinson III,"$1,882,867",$0
Larry Sanders,"$1,865,546","$1,865,546"
Bruno Caboclo,"$1,845,301",$0
Shabazz Napier,"$1,845,301",$0
Jonah Bolden,"$1,780,127",$0
Mario Hezonja,"$1,737,145","$1,977,011"
JaKarr Sampson,"$1,737,145",$0
Raul Neto,"$1,737,145",$0
Emmanuel Mudiay,"$1,737,145",$0
Pat Connaughton,"$1,723,050",$0
Jahlil Okafor,"$1,702,486",$0
Rodions Kurucs,"$1,699,236","$1,780,152"
Dragan Bender,"$1,678,854",$0
Cheick Diallo,"$1,678,854","$1,824,003"
Georges Niang,"$1,645,357","$1,783,557"
Treveon Graham,"$1,645,357",$0
Jordan McRae,"$1,645,357",$0
Christian Wood,"$1,645,357",$0
Derrick Jones,"$1,645,357",$0
Furkan Korkmaz,"$1,620,564","$1,762,796"
Shaquille Harrison,"$1,620,564",$0
Justin Patton,"$1,620,564",$0
Tim Frazier,"$1,620,564",$0
Jordan Bell,"$1,620,564",$0
Dillon Brooks,"$1,618,520","$11,400,000"
Royce O'Neale,"$1,618,520","$8,500,000"
Semi Ojeleye,"$1,618,520","$1,752,950"
Dwayne Bacon,"$1,618,520","$2,023,150"
Sterling Brown,"$1,618,520",$0
Frank Jackson,"$1,618,520",$0
Damyean Dotson,"$1,618,520",$0
Abdel Nader,"$1,618,520","$1,752,950"
Wesley Iwundu,"$1,618,520",$0
Jabari Bird,"$1,588,231",$0
Monte Morris,"$1,588,231","$1,723,707"
Chris Boucher,"$1,588,231",$0
Malcolm Miller,"$1,588,231",$0
Mitchell Robinson,"$1,559,712","$1,663,861"
Willy Hernangomez,"$1,557,250",$0
Alfonzo McKinnie,"$1,519,849",$0
Isaiah Roby,"$1,500,000","$1,517,981"
Nigel Williams-Goss,"$1,500,000","$1,517,981"
Gary Clark,"$1,494,369",$0
Antonio Blakeney,"$1,488,231",$0
JR Smith,"$1,456,667","$1,456,667"
Thanasis Antetokounmpo,"$1,445,697","$1,701,593"
Shake Milton,"$1,445,697","$1,701,593"
Derrick Walton,"$1,445,697",$0
Brad Wanamaker,"$1,445,697",$0
Theo Pinson,"$1,445,697","$1,701,593"
Khyri Thomas,"$1,416,852","$1,663,861"
Isaiah Hartenstein,"$1,416,852","$1,663,861"
Deonte Burton,"$1,416,852","$1,663,861"
Elie Okobo,"$1,416,852","$1,663,861"
Gary Trent Jr,"$1,416,852","$1,663,861"
Isaac Bonga,"$1,416,852","$1,663,861"
Devonte Graham,"$1,416,852","$1,663,861"
Ryan Broekhoff,"$1,416,852",$0
Jalen Brunson,"$1,416,852","$1,663,861"
Keita Bates-Diop,"$1,416,852","$1,663,861"
Bruce Brown,"$1,416,852","$1,663,861"
Sviatoslav Mykhailiuk,"$1,416,852","$1,663,861"
Alize Johnson,"$1,416,852",$0
De'Anthony Melton,"$1,416,852",$0
Kendrick Nunn,"$1,416,852","$1,663,861"
Duncan Robinson,"$1,416,852","$1,663,861"
Jarred Vanderbilt,"$1,416,852","$1,663,861"
Kenrich Williams,"$1,416,852",$0
Hamidou Diallo,"$1,416,852","$1,663,861"
Melvin Frazier,"$1,416,852","$1,663,861"
Jevon Carter,"$1,416,852",$0
Chimezie Metu,"$1,416,852","$1,663,861"
Bruno Fernando,"$1,400,000","$1,517,981"
Jaylen Nowell,"$1,400,000","$1,517,981"
Amile Jefferson,"$1,339,515",$0
Kevin Porter,"$1,290,960","$1,717,981"
Carsen Edwards,"$1,228,026","$1,517,981"
Cody Martin,"$1,173,310","$1,517,981"
Timothe Luwawu,"$1,130,457",
Gary Payton II,"$1,043,355",$0
Guerschon Yabusele,"$1,039,080","$1,039,080"
Terance Mann,"$1,000,000","$1,517,981"
Admiral Schofield,"$1,000,000","$1,517,981"
Justin Hamilton,"$1,000,000",$0
Jonathon Simmons,"$1,000,000",$0
Kyle Singler,"$999,200","$999,200"
Damion Lee,"$921,895","$1,762,796"
Vlatko Cancar,"$898,310","$1,571,981"
Javonte Green,"$898,310","$1,517,981"
Nicolas Claxton,"$898,310","$1,517,981"
Daniel Gafford,"$898,310","$1,517,981"
Eric Paschall,"$898,310","$1,517,981"
Alen Smailagic,"$898,310","$1,517,981"
Talen Horton-Tucker,"$898,310","$1,517,981"
KZ Okpala,"$898,310","$1,517,981"
Naz Reid,"$898,310","$1,517,981"
Ignas Brazdeikis,"$898,310","$1,517,981"
Jalen Lecque,"$898,310","$1,517,981"
Justin James,"$898,310","$1,517,981"
Dewan Hernandez,"$898,310","$1,517,981"
Matt Thomas,"$898,310","$1,517,981"
Caleb Martin,"$898,310",
Jalen McDaniels,"$898,310",
DaQuan Jeffries,"$898,310",$0
Terence Davis,"$898,310","$1,517,981"
Miye Oni,"$898,310","$1,517,981"
Marquese Chriss,"$819,401",$0
Juwan Morgan,"$796,806",$0
Raymond Spalding,"$787,994",$0
David Nwaba,"$716,449",$0
Cole Aldrich,"$685,340","$685,340"
Shaun Livingston,"$666,666","$666,666"
Brandon Goodwin,"$602,305","$1,701,593"
Rayjon Tucker,"$578,572",$0
Chris Clemons,"$563,346","$1,517,981"
Anzejs Pasecniks,"$561,711",$0
Chris Silva,"$546,486","$1,517,981"
Ky Bowman,"$540,367",$0
Norvel Pelle,"$540,367",$0
Tyrone Wallace,"$494,409",$0
Juan Toscano-Anderson,"$460,799",$0
Dakari Johnson,"$459,414","$459,414"
Iman Shumpert,"$406,335",$0
Justin Robinson,"$385,715",$0
CJ Watson,"$333,333","$333,333"
Festus Ezeli,"$333,333",$0
Deyonta Davis,"$250,000",$0
Stanton Kidd,"$250,000",$0
Joe Johnson,"$220,000",$0
Josh Magette,"$161,245",$0
Johnathan Williams,"$161,245",$0
Chris Chiozza,"$159,136",$0
Cameron Payne,"$150,000",$0
Paul Watson,"$130,319",$0
Zach Norvell,"$130,319",$0
Levi Randolph,"$129,568",$0
Oshae Brissett,"$129,568",$0
William Howard,"$129,568",$0
Tyler Cook,"$126,878",$0
Troy Williams,"$122,741","$122,741"
Jaylen Adams,"$100,000",$0
Yante Maten,"$100,000",$0
Justin Anderson,"$98,143",$0
Demetrius Jackson,"$92,857","$92,857"
JP Macura,"$81,677",$0
Jeremy Pargo,"$81,677",$0
Charlie Brown,"$79,568",$0
Tacko Fall,"$79,568",$0
Tremont Waters,"$79,568",$0
Henry Ellenson,"$79,568",$0
Jeremiah Martin,"$79,568",$0
Robert Franks,"$79,568",$0
Kobi Simmons,"$79,568",$0
Adam Mokoka,"$79,568",$0
Max Strus,"$79,568",$0
Matt Mooney,"$79,568",$0
Dean Wade,"$79,568",$0
Antonius Cleveland,"$79,568",$0
Josh Reaves,"$79,568",$0
Bol Bol,"$79,568",$0
PJ Dozier,"$79,568",$0
Jordan Bone,"$79,568",$0
Louis King,"$79,568",$0
Michael Frazier,"$79,568",$0
Brian Bowen,"$79,568",$0
Naz Long,"$79,568",$0
Amir Coffey,"$79,568",$0
Johnathan Motley,"$79,568",$0
Kostas Antetokounmpo,"$79,568",$0
Devontae Cacok,"$79,568",$0
John Konchar,"$79,568",$0
Yuta Watanabe,"$79,568",$0
Kyle Alexander,"$79,568",$0
Daryl Macon,"$79,568",$0
Frank Mason,"$79,568",$0
Cam Reynolds,"$79,568",$0
Jordan McLaughlin,"$79,568",$0
Kelan Martin,"$79,568",$0
Zylan Cheatham,"$79,568",$0
Josh Gray,"$79,568",$0
Kadeem Allen,"$79,568",$0
Ivan Rabb,"$79,568",$0
Kenny Wooten,"$79,568",$0
Luguentz Dort,"$79,568",$0
Devon Hall,"$79,568",$0
Kevin Hervey,"$79,568",$0
BJ Johnson,"$79,568",$0
Vic Law,"$79,568",$0
Marial Shayok,"$79,568",$0
Jared Harper,"$79,568",$0
Tariq Owens,"$79,568",$0
Moses Brown,"$79,568",$0
Wenyen Gabriel,"$79,568",$0
Jaylen Hoard,"$79,568",$0
Kyle Guy,"$79,568",$0
Drew Eubanks,"$79,568",$0
Quinndary Weatherspoon,"$79,568",$0
Shamorie Ponds,"$79,568",$0
Jarrell Brantley,"$79,568",$0
Justin Wright-Foreman,"$79,568",$0
Garrison Mathews,"$79,568",$0
Marques Bolden,"$50,751",$0
Malik Newman,"$50,751",$0
Eric Mika,"$50,751",$0
Joe Chealey,"$50,000",$0
